n,FLOP/s
4640,3.16341e+09
4650,3.17023e+09
4660,3.10644e+09
4670,3.18386e+09
4680,3.19068e+09
4690,3.1975e+09
4700,3.20432e+09
4710,3.21114e+09
4720,3.21795e+09
4730,3.22477e+09
4740,3.23159e+09
4750,3.16644e+09
4760,3.17311e+09
4770,3.17978e+09
4780,3.18644e+09
4790,3.19311e+09
4800,3.19978e+09
4810,3.20644e+09
4820,3.21311e+09
4830,3.21978e+09
4840,3.22644e+09
4850,3.16283e+09
4860,3.16935e+09
4870,3.17587e+09
4880,3.18239e+09
4890,3.18891e+09
4900,3.19543e+09
4910,3.20196e+09
4920,3.20848e+09
4930,3.215e+09
4940,3.15298e+09
4950,3.22804e+09
4960,3.23457e+09
4970,3.17213e+09
4980,3.17851e+09
4990,3.18489e+09
5000,3.19128e+09
5010,3.13104e+09
5020,3.20404e+09
5030,3.14354e+09
5040,3.14979e+09
5050,3.15604e+09
5060,3.09776e+09
5070,3.10388e+09
5080,3.11e+09
5090,3.11612e+09
5100,3.12224e+09
5110,3.12837e+09
5120,3.13449e+09
5130,3.14061e+09
5140,3.14673e+09
5150,3.15286e+09
5160,3.15898e+09
5170,3.1018e+09
5180,3.1078e+09
5190,3.17735e+09
5200,3.18347e+09
5210,3.18959e+09
5220,3.19571e+09
5230,3.20184e+09
5240,3.20796e+09
5250,3.21408e+09
5260,3.2202e+09
5270,3.22633e+09
5280,3.23245e+09
5290,3.23857e+09
5300,3.1798e+09
5310,3.1858e+09
5320,3.1918e+09
5330,3.1978e+09
5340,3.2038e+09
5350,3.2098e+09
5360,3.2158e+09
5370,3.15863e+09
5380,3.2278e+09
5390,3.2338e+09
5400,3.17627e+09
5410,3.18216e+09
5420,3.18804e+09
5430,3.19392e+09
5440,3.1998e+09
5450,3.14404e+09
5460,3.21157e+09
5470,3.21745e+09
5480,3.22333e+09
5490,3.22922e+09
5500,3.2351e+09
5510,3.17865e+09
5520,3.18442e+09
5530,3.19019e+09
5540,3.19596e+09
5550,3.20173e+09
5560,3.2075e+09
5570,3.21327e+09
5580,3.21904e+09
5590,3.22481e+09
